QID,Prediction
Q1,技师说：你好，请问你的车跑了多少公里了，如果在保修期内，可以到当地的4店里面进行检查维修。如果已经超出了保修期建议你到当地的大型维修店进行检查，烧机油一般是发动机活塞环间隙过大和气门油封老化引起的。如果每7500公里烧一升机油的话，可以在后备箱备一些机油，以便机油报警时有机油及时补充，如果超过两升或者两升以上，建议你进行发动机检查维修。 技师说：你好
Q2,技师说：你好师傅！抛光处理一下就好了！50元左右就好了，希望能够帮到你！祝你生活愉快！
Q3,技师说：你好，气囊油丝坏了吗，这个价格不贵。可以更换。
Q4,技师说：你好！一：发动机没力，并伴有“啪啪”的漏气声音。二：发动机没力，并伴有排气管冒黑烟。三：水温高，水箱盖出冒气泡出来。
Q5,技师说：你好师傅！可能前轮平衡快脱落或者不平衡造成的！建议前轮做一下动平衡就好了！希望能够帮到你！祝你用车愉快！
Q6,车主说：没什么故障 也没异常 就是突然烧了什么一样 一股异味 技师说：你好师傅，车子没有异常，那可能排气管关上缠到了方编袋造成的， 技师说：或者车子开到修理厂清理一下，希望能够帮到你！祝你生活愉快！
Q7,技师说：你好！对的，如果要添加的话你还是需要添加绿色的防冻液的。
Q8,技师说：有图吗？是红色的机油灯吗？如果机油灯常亮是不能再使用的，否则会对车辆发动机造成严重伤害，严重时会造成发动机抱死的故障。解决办法是拖车入厂，检查润滑系统故障，并根据故障原因进行相应的处理 技师说：[图片]
Q9,技师说：从这个图片来看，您的轮胎只是在胎面出现了一些裂痕，这种裂痕主要是由于行驶路面的问题导致的，但是这种情况不会影响到您车辆的正常使用，因为这个胎面他是有一些钢丝。就这个伤害来说，他绝对不会影响到轮胎的正常使用。这个您完全不用担心的。
Q10,技师说：这种情况有可能是因为停放的时间久了之后，机油的润滑刚开始没有完全润滑到发动机的机械部件，所以一开始可能听到的声音比较大一点，跟以前有区别，大约的时间也就是有个几秒钟吧，如果发动机在以后使用过程中没有问题，不用担心的。
Q11,技师说：你好！高速行车对车子没有任何问题，但是高速行车需要注意安全。
Q12,技师说：前风挡起雾的主要原因，就是因为室内的空气湿度比较大，外界的空气比较冷，这时候在前风挡的位置产生一个温差，所以产生雾气，这时候我们只要打开空调的ac开关，然后调到前风挡除雾，那么就可以了。如果说温度感觉不太合适，可以调高温度就可以了，也就是说，我们调高调到暖风，它同样是可以起到除雾的作用。
Q13,技师说：你的车辆才跑了不到1700公里，机油应该是没有问题的，这种情况我们可以检查一下，但是应该不会有问题。
Q14,技师说：你好，不会，但是对电瓶起动机寿命都有一定的影响
