QID,Prediction
Q1,你好，如果在保修期内，可以到当地的4店里面进行检查维修。如果已经超出了保修期建议你到当地的大型维修店进行检查，烧机油一般是发动机活塞环间隙过大和气门油封老化引起的。
Q2,你好师傅。抛光处理一下就好了。
Q3,你好，这个价格不贵。可以更换。
Q4,一发动机没力，并伴有啪啪的漏气声音。二发动机没力，并伴有排气管冒黑烟。
Q5,你好师傅。可能前轮平衡快脱落或者不平衡造成的。
Q6,你好师傅。你好师傅，车子没有异常，那可能排气管关上缠到了方编袋造成的。
Q7,这个是没有问题的，可以购买。看看是不是绿色的哦。
Q8,如果机油灯常亮是不能再使用的，否则会对车辆发动机造成严重伤害，严重时会造成发动机抱死的故障。解决办法是拖车入厂，检查润滑系统故障，并根据故障原因进行相应的处理。
Q9,从这个来看，您的轮胎只是在胎面出现了一些裂痕，这种裂痕主要是由于行驶路面的问题导致的，但是这种情况不会影响到您车辆的正常使用，因为这个胎面他是有一些钢丝。这个您完全不用担心的。
Q10,这种情况有可能是因为停放的时间久了之后，机油的润滑刚开始没有完全润滑到发动机的机械部件，所以一开始可能听到的声音比较大一点，跟以前有区别，大约的时间也就是有个几秒钟，如果发动机在以后使用过程中没有问题，不用担心的。
Q11,高速行车对车子没有任何问题，但是高速行车需要注意安全。不会的拉缸的。
Q12,前风挡起雾的主要原因，就是因为室内的空气湿度比较大，外界的空气比较冷，这时候在前风挡的位置产生一个温差，所以产生雾气，这时候我们只要打开空调的ac开关，然后调到前风挡除雾，那么就可以了。如果说温度感觉不太合适，可以调高温度就可以了，也就是说，我们调高调到暖风，它同样是可以起到除雾的作用。
Q13,你的车辆才跑了不到1700公里，机油应该是没有问题的，这种情况我们可以检查一下，但是应该不会有问题。
Q14,你好，不会，但是对电瓶起动机寿命都有一定的影响。发动机不会有影响。
Q15,这个不一定有很好的效果，主要原因是车辆的喇叭跟音响是有关系的，就像是我们家庭的功放，如果是选用好的喇叭，没有好的功放，那么肯定也出不来那种效果的。首先您这个音响的机器是否能够安装到车上，这也是一个问题，然后是否匹配，喇叭的瓦数，都是有关系的，您可以安装，但是它肯定有一定的效果，并不一定能够达到非常极致的效果。
Q16,这种情况肯定得需要整形的。从这个变形角度来说，只需要整形处理，也就是说的物理处理就可以了，不需要焊接的，但肯定得需要打磨。
Q17,目前来说国产发动机的声音都是比较大的。
Q18,一般轮胎不能索赔的，需要更换处理，防止爆胎。看是否碰撞过，具体方法是他们检测。
Q19,最好能跑多少码。你拖车去4s店，别折腾了，让他们给你变速箱油检查一下，首先编程，配置设定试试能不能好。
Q20,你好，根据你的描述是方向盘一边按钮不太好用另一边正常的，这个可以索赔的，不影响安全气囊，索赔更换喇叭开关即可恢复正常。
Q21,这样车都没坏算你运气好，这样你先去把变速箱油换掉，就好加个变速箱系统清洗维护。档位开关是有可能的，但是变速箱油是需要更换了，变速箱油脏了导致变速箱模块受损也会出现这样情况。
Q22,加到上限试试。用什么油都没用，烧机油只有检查大修才能解决，公里数多了，也没办法。
Q23,您好，检查一下开关总成的插头有没有电源和打铁，有可能开关坏了。这种问题建议先去4s一下，用专用电脑给车身模块编程一下，或者更换一个车身模块实验，如果是质保期就好弄了。
Q24,你好，这种情况需要电脑检测一下故障码，可能是缺缸导致。这要检查机油是否缺少，各皮带轮轴承是否有磨损，轮胎轴承是否响，还有就是发动机内部公里数多了磨损间隙过大都会声音大，具体需要检查的。
Q25,您好，这款车的钢线通用的，你找个旧的好的换上就可以了。
Q26,你好，新车这种情况一般都是钥匙电子亏电，感应不到钥匙了，把钥匙靠近一键启动按钮在启动试试。
Q27,你好很高兴为你服务首先检查车况尤其是检查有没有撞过大梁有无变形车身有无变形其次检查油水电发动机有无漏油变速箱挂档是否平顺刹车片刹车盘是否还有。德系车容易烧机油发动机爱漏油日系车发动机不容易出问题但是安全系数比较低不经撞。
Q28,你好，应急电量不够起动，更换有电电瓶。350左右一块电瓶，旧的没用了。
Q29,你好，原车杠600左右。修理厂。
Q30,首先要确定确实属于维修后的车辆，如果是这样，根据国家相关规定，销售店承担车价十倍的赔偿。上看这个地方确实有点异常但是不能确定是维修过的，只能找相关技术人员实车检查。
Q31,可以的，提前一点和推迟一点公里数，都不影响。不能推迟太多，这样对发动机不好，首保没有影响，一般对100公里没有影响。
Q32,建议检查一下遥控器的电池电量和车辆的电瓶，一般都是这两个方面的影响。目前车辆的情况，需要先检查一下是不是这个电池的电量不够。
Q33,同时更换两个或者两个以上的新轮胎，建议要做四轮定位和四轮动平衡。四轮定位和动平衡在更换轮胎的店里面，与更换轮胎同时进行，是不会单独收费的。
Q34,这是发动机故障灯。该故障灯点亮，表示发动机系统检测到故障，需要用解码器读取故障记录。
Q35,检查一下发动机舱和驾驶员车门旁边仪表台测面有没有保险丝烧了。新车，4s店要给质保的，要把问题帮你彻底解决，并且告诉你造成这种故障的原因。
Q36,你的车这种现象首先要清洗节气门，更换空气滤芯，然后在用电脑做下节气门匹配，怠速就正常了。
Q37,起步或者爬坡的时候会感觉动力不足，转速表转速升高车行驶的很慢。
Q38,你好，你可以在当地二手车市场让他们估价，我想大概还能值30000-40000左右。
Q39,你好，最好是熟人修理厂，因为贴膜利润是比较大得，暴利产品，四门后档便宜，前挡风玻璃要贵一点得。熟人得话四门加后档四五百，一个前挡也是四百块钱左右。
Q40,你好，那是虚接，处理方法可以把电瓶卡拆下用水冲洗干净，擦干，在桩头涂抹黄油，在装上就可以防止在出现类似情况。没有黄油的话，用水清理干净，装上就可以，抹黄油就可以防止这样情况再次发生。
Q41,建议您检查节气门，因为是电子节气门，如果打车的瞬间，电脑控制电子节气门打开的角度要偏大一定，更好的为了着车，如果节气门内部有点脏的话进气量稍小，导致打车时候转速会低。对，建议您清洗节气门和进气道。
Q42,你好，气门室盖垫不行了漏油。更换一下气门室盖垫就可以了。
Q43,你好，没有影响的，一般建议不超过3500转，新车都经过冷磨合的，加工精度已经很好了，下次祝用车愉快。
Q44,那只能去你换方向机地方检查了。可以按我的方法试试，不行就去修理厂检查。
Q45,车主你好，保险杠油漆刮伤比较严重，需要重新喷漆，建议去修理厂喷漆即可，一般保险杠喷漆价格300左右。
Q46,你好，在变速箱侧面有个观察孔的，打开，有油流出就够了，大概可以加五升多。可以点击头像关注我，有问题可以一对一的进行电话。
Q47,应该是小灯不亮导致雾灯不亮，先检查一下小灯是不是亮，一般车开雾灯必须开小灯，小灯控制中控台灯和点烟器灯。
Q48,是不是在外地加油了。建议您加瓶燃油宝试试，有条件的话先去修理厂查一下故障码。
Q49,轮胎上没有旋转方向箭头指示怎么安装都可以，不会安装反的。四季胎一般没有安装方向要求的。
Q50,先查一下故障码，看看正时对不对。
Q51,尊敬的车主你好，汽车改装带透镜的车不影响二手车交易，但是影响汽车年审。可以找黄牛代办或装复原车大灯，审车过后再换回来。
Q52,你好，不是开关坏了，是雷达模块坏了，需要更换。可能是线路问题，我们检查摄像头都是拆下后摄像头插头插到小电视来检测，你的摄像头不是在后车厢盖上么。
Q53,你好，车主。这个效果不大的，很少有安装的。
Q54,你好，你车跑多少公里了。还有就是冷车高怠速有点抖动也是正常的。
Q55,你好，保养得时候没有消除保养提示。按着0.0打开钥匙出现保养提示然后松开按一下左边按钮就可以了。
Q56,节气门积碳。清洗节气门。
Q57,首先检查一下发动机各缸工作情况，其次进行检查火花塞燃烧情况，节气门与喷油嘴拆下来清洗，汽油滤芯得更换，看看离合器是否出现打滑导致动力传递不完全。排气管排水是正常得燃烧情况，如果过多就不正常，需要检查是否发动机烧水或者汽油含水量大导致得。
Q58,这个不行，它不是清洗类得。清洗剂是专门清洗类得产品。
Q59,要是那样的话，你就得更换视频的格式。视频CD你要在买CD的哪儿试好，建议你买个优盘。
Q60,如果倒车灯亮的检查一下接在倒车灯火线上面的倒车检测线有没有电。更换摄像头故障依然没有排除就是视频线损坏。
Q61,您好，这是发动机故障灯，需要电脑解码看看才能大概知道什么问题了，如果是偶发历史故障那么清除故障码就可以了。
Q62,尊敬的车主你好，如果更换的电瓶和原车型号不同启动电流比原车小的车辆会出现这种故障现象。尊敬的车主你好，原车电瓶型号，风帆牌12v6oA启动电流550。
Q63,用柏油清洗剂喷上去后用布擦可以擦掉而且不伤油漆。龟牌或者车仆都可以。
Q64,这个地盘高度是厂家出厂时候设计的。不过可以通过改减震的方法提高底盘。
Q65,两种可能，一个是氟利昂没有了，一个就是空调不工作导致。嗡嗡响建议检查一下助力油是否足够，助力泵是否异响导致。
Q66,有的车刹车油和离合器油共用刹车油，刹车油亏了，离合器分泵里会进气，导致踩离合离合器不能彻底分离，所以离合器分泵需要放气。
Q67,调下胎压，储存下就可以了。调下胎压，储存下就行了，很简单。
Q68,没有漏的，那就是烧机油了。首先检查机油的时候第一次和第二次要么都是凉车要么都是热车，第二因为车的公里数不多，以前是否出现过机油亏的情况，建议换一款机油试试，如果还是亏机油，只能修发动机了。
Q69,您好，防尘套拆装首先把半轴拆下来，在外球笼处分解开，然后更换防尘套即可，安装时注意球笼内的锁止卡簧安装到位，防尘套固定要牢固。更换半轴需要放出变速箱油，加注变速箱油从箱体上方的通气孔口处加注即可。
Q70,你好，你的自动变速器内部离合片烧了，要更换离合片，否则长时间对发动机不好。第一发动机在怠速松开刹车应该慢慢前行，而你的发动机4000转才60说明你的自动变速器三档离合片已经烧了升不上档。
Q71,保养时间到了提示。如果时间延长不长得话可以5000公里左右时候进行保养。
Q72,您好，这个公里数节气门是应该清洗了的，或者到下次三万公里保养清洗也可以。
Q73,你好，六年免检之后就需要上线检测得。主要是灯光，刹车和尾气。
Q74,你好，保养提示消除就可以了。
Q75,朗逸车好像有汽油滤的嘛换过没有。很有可能就是那个的问题喔。
Q76,轮胎保险公司是不处理的。
Q77,你好，可以去做一个轮胎动平衡。
Q78,你好，可以去维修店调取一下发动机故障代码，从而根据问题解决故障。
Q79,你好，起热得轮子看看刹车分泵，刹车片是否回位不好导致的，问题不大。先调整拉线位置看看回位。
Q80,你好两万公里只需要更换机油机滤空气滤芯清洗一下节气门积碳节气门积碳要求每两万公里进行清洗积碳会造成怠速不稳有时易熄火等故障。检测油水是否确少底盘部件螺丝有无松动损坏检查轮胎胎压灯光。
Q81,您好，有可能是离合总泵的原因，你这两天先开着注意观察，如果踩离合很轻松或者离合拆下去不反弹，就需要维修了。开车的时候踩完离合松开后建议把脚放在离合器的左边。
Q82,离合太高了还没有松到结合点这样松手刹就会溜车得，建议调整一下离合器，低离合高刹车。正常调整就可以，只要离合器不磨损严重就没事。
Q83,需要换凸轮轴油封，不然正时皮带沾油就不能用了。
Q84,好，用万用表测量一下发电机发电量就可以看出来。现在这个情况发电机可能性大一点，直接一个万用表就可以测量出来。
Q85,打方向有旷量。
Q86,主要检查发动机动力和离合器是否出现打滑引起。
Q87,你好，具体得将车辆顶起来作为检查。
Q88,你好，得喷漆了，大概300。
Q89,你好，主驾驶门摇窗机开关控制线路有问题。线路有破损的地方检查一下。
Q90,你好这种情况没有问题。加机油的时候漏到外面的应该是。
Q91,你好发动机转到一缸上止点，按照1342的顺序调整双排不进，然后转到四缸上止点反过来调就行了。
Q92,在头盖开关旁边，有的是有盖子盖住的。扣开盖子就行。
Q93,你好，这个故障是正时错了，跳齿了，现在是轻微的。严重就顶气门了。
